date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:45	296/296	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Dec%202021%2005:58:45%20GMT	http://localhost/robots.txt		(from )
11:28:49	145683/145683	---MC-	200	added ('OK')	text/html	date:Sat,%2018%20Dec%202021%2005:58:45%20GMT	http://localhost/profile/	C:/Users/Happy/Desktop/New%20folder/profile1/localhost/profile/index.html	(from )
11:28:49	41435/41435	---M--	200	added ('OK')	text/css	etag:%22a1db-5d342de2406cf%22	http://localhost/profile/wp-content/themes/astra/assets/css/minified/main.min.css?ver=3.7.5	C:/Users/Happy/Desktop/New%20folder/profile1/localhost/profile/wp-content/themes/astra/assets/css/minified/main.min3430.css	(from http://localhost/profile/)
11:28:51	1694/1694	---M--	200	added ('OK')	application/rss+xml	etag:%222083f8169877605d137727cb345fdbf7%22	http://localhost/profile/feed/	C:/Users/Happy/Desktop/New%20folder/profile1/localhost/profile/feed/index.html	(from http://localhost/profile/)
11:28:51	80574/80574	---M--	200	added ('OK')	text/css	etag:%2213abe-5cae72efad580%22	http://localhost/profile/wp-includes/css/dist/block-library/style.min.css?ver=5.8.2	C:/Users/Happy/Desktop/New%20folder/profile1/localhost/profile/wp-includes/css/dist/block-library/style.min080f.css	(from http://localhost/profile/)
11:28:51	1658/1658	---M--	200	added ('OK')	application/rss+xml	etag:%2284f562e563b5adf4c19a9411e1ff5b02%22	http://localhost/profile/comments/feed/	C:/Users/Happy/Desktop/New%20folder/profile1/localhost/profile/comments/feed/index.html	(from http://localhost/profile/)
11:28:52	18900/18900	---M--	200	added ('OK')	text/css	etag:%2249d4-5d3350e3cc903%22	http://localhost/profile/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.13.0	C:/Users/Happy/Desktop/New%20folder/profile1/localhost/profile/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min05c8.css	(from http://localhost/profile/)
11:28:53	95085/95085	---M--	200	added ('OK')	text/css	etag:%221736d-5d3350e38bcb7%22	http://localhost/profile/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.5.0	C:/Users/Happy/Desktop/New%20folder/profile1/localhost/profile/wp-content/plugins/elementor/assets/css/frontend-lite.min3b71.css	(from http://localhost/profile/)
11:28:54	981/981	---M--	200	added ('OK')	text/css	etag:%223d5-5d342e3ea707c%22	http://localhost/profile/wp-content/uploads/elementor/css/post-516.css?ver=1639659128	C:/Users/Happy/Desktop/New%20folder/profile1/localhost/profile/wp-content/uploads/elementor/css/post-5165d12.css	(from http://localhost/profile/)
11:28:54	59530/59530	---M--	200	added ('OK')	text/css	etag:%22e88a-5d351234b7ce1%22	http://localhost/profile/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.4.1	C:/Users/Happy/Desktop/New%20folder/profile1/localhost/profile/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min5589.css	(from http://localhost/profile/)
11:28:56	34669/34669	---M--	200	added ('OK')	text/css	etag:%22876d-5d35467ec7e36%22	http://localhost/profile/wp-content/uploads/elementor/css/post-6.css?ver=1639734357	C:/Users/Happy/Desktop/New%20folder/profile1/localhost/profile/wp-content/uploads/elementor/css/post-6b734.css	(from http://localhost/profile/)
